medcodeid,OriginalReadCode,Term
285124010,9G4,Adverse drug reaction notif
324723011,SN5,Adverse reaction
324782015,SN5y,Other adverse effects NEC
324787014,SN5yz,"Other adverse effects NEC, NOS"
324788016,SN5z,Adverse effects NOS
325685016,SyuKS,[X]Unspecified adverse effect of drug or medicament
330590016,TJ00z,Adverse reaction to penicillin NOS
330602013,TJ02z,Adverse reaction to chloramphenicol group NOS
330603015,TJ03,Macrolide adverse reaction
330607019,TJ03z,Adverse reaction to macrolide NOS
330617012,TJ04z,Tetracyclines group adverse reaction
330631012,TJ05z,Cephalosporin adverse reaction
330647014,TJ0y,Adverse reaction to other antibiotics
330665013,TJ0yz,Adverse reaction to other antibiotics NOS
330666014,TJ0z,Adverse reaction to antibiotic NOS
330667017,TJ1,Adverse reaction to other anti-infectives
330676012,TJ103-1,Adverse reaction to sulfamethoxazole
330677015,TJ103,Adverse reaction to sulphamethoxazole
330687016,TJ10z,Adverse reaction to sulphonamide NOS
330749017,TJ1zz,Adverse reaction to anti-infective NOS
330791015,TJ22y,Combined oral contraceptive adverse reaction
330810011,TJ242,"Adverse reaction to follicle stimulating hormone, FSH"
330836016,TJ2z,Adverse reaction to hormones and synthetic substances NOS
330839011,TJ300,Adverse reaction to antihistamines
330915019,TJ42z,Adverse reaction to anticoagulants NOS
330948019,TJ52,Adverse reaction to other opiates and related narcotics
330957013,TJ52z,Adverse reaction to opiates or related narcotics NOS
330973019,TJ560,Adverse reaction to ibuprofen
330974013,TJ561,Adverse reaction to diclofenac sodium
330975014,TJ562,Adverse reaction to fenbufen
330979015,TJ566,Adverse reaction to ketoprofen
330980017,TJ567,Adverse reaction to naproxen
330981018,TJ568,Adverse reaction to piroxicam
330984014,TJ56z,Adverse reaction to antirheumatics NOS
330990013,TJ5y1,Adverse reaction to mefenamic acid
331010016,TJ63z,Adverse reaction to anticonvulsants NOS
331067013,TJ821,Adverse reaction to nitrous oxide
331084019,TJ84,Adverse reaction to other general anaesthetics
331092011,TJ855,Adverse reaction to tetracaine
331094012,TJ85z,Adverse reaction to local anaesthetics NOS
331126017,TJ90z,Adverse reaction to antidepressants NOS
331175016,TJ960,Adverse reaction to cannabis
331241011,TJC0z,Adverse reaction to cardiac rhythm regulator NOS
331272010,TJC4z,Adverse reaction to coronary vasodilator
331291010,TJC7,Adverse reaction to other antihypertensives
331302012,TJC7z,Antihypertensive adverse reaction
331321016,TJD06,Adverse reaction to sodium bicarbonate
331388013,TJE3z,Adverse reaction to thiazide NOS
331397012,TJE4z,Adverse reaction to diuretic NOS
331454018,TJG2,Adverse reaction to local astringents and local detergents
331459011,TJG5z,Adverse reaction to eye drugs NOS
331464010,TJHy,Adverse reaction to other drugs and medicines
331476010,TJHyz,Adverse reaction to other drug or medicine NOS
331477018,TJHz,Adverse reaction to drug or medicinal substance NOS
331509016,TJz,Adverse reaction to drug NOS
335622010,U6000,[X]Penicillins causing adverse effects in therapeutic use
335628014,U6003,[X]Macrolides causing adverse effects in therapeutic use
335629018,U6004,Tetracycline adverse reaction
335637014,U6010,Sulphonamide adverse reaction
335703012,U6051,Adverse reaction to salicylate
335734011,U6065,Sodium valproate adverse reaction
335762016,U6083-8,Local anaesthetic drug adverse reaction
335768017,U6083-7,[X] Adverse reaction to tetracaine
335812018,U60C1-3,Amlodipine adverse reaction
335817012,U60C4-4,Lisinopril adverse reaction
335875011,U60G0-B,[X]Adverse reaction to local anti-inflammatory drug
404262011,TJ53,Adverse reaction to salicylates
433098016,TJ033,Clarithromycin adverse reaction
433540015,1Z34,Anticoagulant adverse reaction
499186017,1Z3,Adverse reaction to drug
