medcode,ca_excl
1225763012,1
291963013,1
304151000006118,1
291959018,1
291778013,1
304251000006114,1
304271000006116,1
1221446018,1
1216160012,1
292006015,1
292073010,1
304381000006111,1
292075015,1
304401000006111,1
1216346016,1
304421000006118,1
304431000006115,1
1216284012,1
304461000006112,1
304471000006117,1
304481000006119,1
304491000006116,1
1217037013,1
304521000006119,1
304531000006116,1
1230440012,1
1231622010,1
291436015,1
291372011,1
304621000006115,1
304631000006117,1
304641000006110,1
304651000006112,1
304661000006114,1
304681000006116,1
304701000006118,1
304711000006115,1
304791000006113,1
291391011,1
403752014,1
291395019,1
1227518012,1
304901000006115,1
304921000006113,1
305011000006117,1
1216940017,1
291992012,1
292010017,1
305141000006119,1
292036012,1
305171000006110,1
305181000006113,1
305201000006114,1
305211000006112,1
1235321016,1
305231000006118,1
305261000006110,1
305271000006115,1
305291000006119,1
305331000006114,1
1220814017,1
291641019,1
305531000006115,1
305551000006110,1
305571000006117,1
291482011,1
305651000006111,1
305671000006118,1
305681000006115,1
1229453012,1
305701000006117,1
305711000006119,1
305741000006115,1
305861000006114,1
1216868019,1
292045013,1
292042011,1
305901000006119,1
305921000006112,1
305941000006117,1
305951000006115,1
305971000006113,1
306001000006110,1
306011000006113,1
1216845011,1
306091000006115,1
306111000006112,1
306131000006118,1
1219789016,1
306171000006115,1
306211000006118,1
1216670013,1
291414018,1
291419011,1
1221504012,1
291326012,1
306381000006115,1
291330010,1
306401000006115,1
291329017,1
291676017,1
306451000006116,1
291837016,1
306571000006113,1
291486014,1
306641000006116,1
306661000006117,1
306681000006110,1
291782010,1
1230128019,1
306821000006110,1
291824019,1
306901000006111,1
306911000006114,1
306921000006118,1
306931000006115,1
306951000006110,1
1216809013,1
306971000006117,1
291443014,1
291442016,1
307051000006111,1
291700017,1
307071000006118,1
307091000006117,1
1231089017,1
291536017,1
307131000006115,1
307191000006116,1
292001013,1
292002018,1
307221000006111,1
307251000006119,1
307271000006112,1
307281000006110,1
307291000006113,1
291495018,1
291493013,1
291695012,1
307441000006115,1
1232905013,1
215889013,1
307531000006112,1
307571000006110,1
1231028010,1
307591000006111,1
307631000006111,1
307671000006114,1
291718019,1
307801000006119,1
307811000006116,1
307821000006112,1
307831000006110,1
307841000006117,1
307861000006118,1
307891000006114,1
307921000006115,1
291462012,1
307971000006119,1
308001000006111,1
308031000006115,1
308041000006113,1
292050019,1
292046014,1
308071000006117,1
291825018,1
308091000006116,1
308111000006113,1
308121000006117,1
1235961012,1
308181000006118,1
308191000006115,1
1216731014,1
308241000006115,1
308261000006116,1
308291000006112,1
308311000006111,1
1216029010,1
292024018,1
292018012,1
308351000006112,1
308371000006119,1
308411000006118,1
308461000006115,1
308491000006111,1
308501000006115,1
308551000006116,1
308641000006117,1
1231237017,1
308671000006113,1
308701000006114,1
308731000006118,1
376870016,1
291452017,1
308761000006110,1
308771000006115,1
1222216017,1
308801000006118,1
308821000006111,1
291378010,1
215885019,1
291379019,1
308941000006114,1
308951000006111,1
308961000006113,1
308971000006118,1
1222222014,1
309011000006119,1
309021000006110,1
309031000006113,1
309061000006116,1
309071000006111,1
309081000006114,1
309091000006112,1
1235290011,1
309131000006114,1
309181000006110,1
309231000006115,1
403757015,1
309251000006110,1
2552865010,1
309261000006112,1
309281000006119,1
2550105015,1
309301000006115,1
309321000006113,1
309351000006116,1
309361000006119,1
309401000006112,1
1233722011,1
309471000006118,1
291886019,1
309501000006113,1
309511000006111,1
309521000006115,1
1228267010,1
309551000006112,1
309571000006119,1
309641000006111,1
309731000006110,1
309741000006117,1
1216729017,1
291383019,1
291380016,1
309811000006113,1
1224870013,1
1221209015,1
309851000006114,1
309891000006115,1
309941000006119,1
291958014,1
291932014,1
1233285010,1
310131000006118,1
310141000006111,1
291933016,1
1221109014,1
453326010,1
309991000006111,1
215913019,1
1233353010,1
291931019,1
215914013,1
1229491012,1
310071000006116,1
1233711012,1
291934010,1
1230406012,1
310161000006110,1
310241000006119,1
310261000006115,1
310271000006110,1
310281000006113,1
1228259019,1
310311000006110,1
310321000006119,1
310341000006114,1
310361000006113,1
310391000006117,1
310411000006117,1
310451000006116,1
1232564019,1
310491000006110,1
310531000006110,1
310541000006117,1
310571000006113,1
310661000006117,1
310741000006110,1
1870401000006113,1
310791000006118,1
310801000006117,1
215791000000112,1
1230800010,1
1216826019,1
310871000006111,1
291328013,1
291653015,1
310961000006112,1
310971000006117,1
1220817012,1
291985019,1
310991000006116,1
291995014,1
311021000006113,1
291984015,1
311041000006118,1
311051000006116,1
311091000006110,1
1229372013,1
1229424011,1
291638011,1
311191000006111,1
311211000006112,1
291540014,1
311301000006118,1
311311000006115,1
1222221019,1
311351000006119,1
311361000006117,1
1222219012,1
1222220018,1
311391000006113,1
403760010,1
1216396015,1
292005016,1
311431000006119,1
311441000006112,1
291953017,1
311461000006111,1
291887011,1
292028015,1
292031019,1
311511000006114,1
311521000006118,1
311561000006112,1
311571000006117,1
311581000006119,1
311591000006116,1
311601000006112,1
311611000006110,1
311621000006119,1
311631000006116,1
311641000006114,1
311651000006111,1
215915014,1
311671000006118,1
291910017,1
1229648010,1
291900014,1
291943018,1
291905016,1
291894014,1
291891018,1
291902018,1
291907012,1
1234197011,1
291914014,1
1230392016,1
311801000006113,1
311811000006111,1
291903011,1
1222289015,1
403759017,1
1230828016,1
403761014,1
311871000006119,1
311881000006116,1
215912012,1
1232576019,1
311911000006116,1
291892013,1
291913015,1
1230838014,1
311951000006115,1
1230100013,1
311971000006113,1
311981000006111,1
403754010,1
1229572014,1
215916010,1
312021000006118,1
312031000006115,1
312041000006113,1
312051000006110,1
312061000006112,1
312071000006117,1
1216016010,1
312101000006110,1
291538016,1
312161000006111,1
312171000006116,1
291836013,1
312201000006117,1
312211000006119,1
312231000006113,1
312251000006118,1
312281000006114,1
