medcodeid,anxdep_sno,anxdep_weight
102161000006115,1,.47
103848017,1,.47
108724018,1,.47
11779391000006117,1,.47
117876016,1,.47
11813981000006113,1,.47
11914901000006114,1,.47
11918741000006118,1,.47
11920891000006113,1,.47
11921141000006115,1,.47
11924881000006115,1,.47
11932111000006111,1,.47
11932121000006115,1,.47
1210253015,1,.47
121871000006118,1,.47
1221042013,1,.47
12220621000006112,1,.47
1222256015,1,.47
1222259010,1,.47
1222267019,1,.47
122851000006118,1,.47
1229148011,1,.47
1230451012,1,.47
1231321013,1,.47
12455001000006118,1,.47
12703831000006115,1,.47
12703981000006114,1,.47
12716981000006115,1,.47
12721221000006113,1,.47
12724771000006115,1,.47
12731491000006112,1,.47
130538010,1,.47
138401000006119,1,.47
138421012,1,.47
142521000006110,1,.47
142541000006115,1,.47
147404016,1,.47
147537017,1,.47
1484868014,1,.47
1485367019,1,.47
1488717011,1,.47
1490285011,1,.47
1491595012,1,.47
1491776015,1,.47
1494938015,1,.47
1494939011,1,.47
1494940013,1,.47
1494941012,1,.47
1494942017,1,.47
1494943010,1,.47
1495057015,1,.47
1495560015,1,.47
155281000006119,1,.47
158091017,1,.47
1714191000006113,1,.47
1715181000006114,1,.47
1715191000006112,1,.47
1715771000006112,1,.47
1715781000006110,1,.47
1721191000006118,1,.47
1721201000006115,1,.47
1721211000006117,1,.47
1721221000006113,1,.47
1742861000006114,1,.47
1752431000006116,1,.47
1752441000006114,1,.47
1752451000006111,1,.47
1752461000006113,1,.47
1755901000006112,1,.47
1755911000006110,1,.47
1755921000006119,1,.47
1755931000006116,1,.47
1755941000006114,1,.47
1773361000006112,1,.47
1774451016,1,.47
1777409015,1,.47
1780458011,1,.47
1780506015,1,.47
1785963019,1,.47
1786078018,1,.47
1786154013,1,.47
1803241000006112,1,.47
1803271000006116,1,.47
1806261000006117,1,.47
1807521000006111,1,.47
1808511000006119,1,.47
1808521000006110,1,.47
1809331000006113,1,.47
1818111000006112,1,.47
1820541000006110,1,.47
1820551000006112,1,.47
1820561000006114,1,.47
1820571000006119,1,.47
1820581000006116,1,.47
182721000006111,1,.47
182771000006112,1,.47
182801000006114,1,.47
1839741000006111,1,.47
1861181000006114,1,.47
1882561000006118,1,.47
1901341000006113,1,.47
1949511000006113,1,.47
1949521000006117,1,.47
1949531000006119,1,.47
1949541000006112,1,.47
1956381000006115,1,.47
1956431000006111,1,.47
1956441000006118,1,.47
1956461000006119,1,.47
1956471000006114,1,.47
1956481000006112,1,.47
1956491000006110,1,.47
1956501000006119,1,.47
1956521000006112,1,.47
1956531000006110,1,.47
1956541000006117,1,.47
