medcodeid,ast_sno,ast_weight
98546013,1,.18
21390015,1,.18
22508019,1,.18
183191000006115,1,.18
2535857010,1,.18
301509017,1,.18
338238011,1,.18
350147016,1,.18
350149018,1,.18
350154010,1,.18
396114013,1,.18
456163018,1,.18
655601000006113,1,.18
1208969012,1,.18
1208970013,1,.18
1208971012,1,.18
1208972017,1,.18
1483199016,1,.18
1488722011,1,.18
1780388018,1,.18
2163183015,1,.18
929091000006111,1,.18
69311016,1,.18
301499010,1,.18
94731013,1,.18
95786019,1,.18
104872017,1,.18
419211018,1,.18
145961000006117,1,.18
350151019,1,.18
350156012,1,.18
396118011,1,.18
142162019,1,.18
2240591000000119,1,.18
301451010,1,.18
301450011,1,.18
396120014,1,.18
301511014,1,.18
301485011,1,.18
301480018,1,.18
350148014,1,.18
817361000006114,1,.18
350153016,1,.18
301508013,1,.18
655611000006111,1,.18
660351000006118,1,.18
350152014,1,.18
885291000006115,1,.18
983771000006118,1,.18
409865018,1,.18
396119015,1,.18
