medcodeid,blv_cnd,blv_weight
1529013,1,.15
298264015,1,.15
298289014,1,.15
298287011,1,.15
747351000006116,1,.15
298299016,1,.15
747381000006112,1,.15
883381000006110,1,.15
298300012,1,.15
298308017,1,.15
298301011,1,.15
747331000006111,1,.15
747411000006110,1,.15
283416014,1,.15
515731000006113,1,.15
298278019,1,.15
298284016,1,.15
510341000006112,1,.15
510201000006119,1,.15
298277012,1,.15
899111000006115,1,.15
323622018,1,.15
515781000006114,1,.15
403051013,1,.15
255292016,1,.15
255293014,1,.15
4572691000006114,1,.15
4572701000006114,1,.15
4572351000006112,1,.15
255275013,1,.15
255276014,1,.15
4572361000006114,1,.15
442202014,1,.15
2163962013,1,.15
6760721000006115,1,.15
6760701000006113,1,.15
2627111000006110,1,.15
2627081000006116,1,.15
2164158012,1,.15
2627061000006114,1,.15
2627091000006118,1,.15
2627121000006119,1,.15
2164154014,1,.15
2627131000006116,1,.15
2627141000006114,1,.15
8227841000006110,1,.15
308101000000115,1,.15
746431000000113,1,.15
733161000000116,1,.15
515811000006111,1,.15
883371000006112,1,.15
298262016,1,.15
510281000006111,1,.15
883361000006117,1,.15
2619503012,1,.15
510321000006117,1,.15
298252011,1,.15
298285015,1,.15
988991000006111,1,.15
298309013,1,.15
989001000006111,1,.15
1583901000006115,1,.15
1872771000006113,1,.15
2168211000000115,1,.15
8262641000006115,1,.15
7174871000006118,1,.15
2267571000000111,1,.15
2773231012,1,.15
7174891000006117,1,.15
2267601000000116,1,.15
8262581000006110,1,.15
2168181000000116,1,.15
8262621000006110,1,.15
2168201000000117,1,.15
8262601000006117,1,.15
2168191000000119,1,.15
1816041000006111,1,.15
2865991000006113,1,.15
456799019,1,.15
298288018,1,.15
2865981000006110,1,.15
2982331000006114,1,.15
2982321000006111,1,.15
2982311000006115,1,.15
515711000006119,1,.15
510211000006116,1,.15
510351000006114,1,.15
510241000006117,1,.15
510311000006113,1,.15
510371000006116,1,.15
510361000006111,1,.15
14191011,1,.15
2164157019,1,.15
515791000006112,1,.15
6588731000006117,1,.15
460633016,1,.15
2164155010,1,.15
747341000006118,1,.15
747361000006119,1,.15
747401000006112,1,.15
747391000006110,1,.15
4121051000006114,1,.15
347842017,1,.15
299506011,1,.15
4121041000006112,1,.15
11998231000006115,1,.15
456798010,1,.15
11998211000006114,1,.15
11998221000006118,1,.15
11639551000006113,1,.15
11639571000006115,1,.15
493267010,1,.15
2566381000006115,1,.15
2566371000006118,1,.15
2566351000006111,1,.15
8131018,1,.15
2566331000006116,1,.15
2566321000006119,1,.15
232091000006119,1,.15
2566361000006113,1,.15
2566391000006117,1,.15
2566311000006110,1,.15
2566341000006114,1,.15
493265019,1,.15
510261000006118,1,.15
510181000006115,1,.15
510191000006117,1,.15
510331000006119,1,.15
298276015,1,.15
883391000006113,1,.15
12731791000006115,1,.15
4773021000006113,1,.15
298286019,1,.15
6760601000006118,1,.15
2163958019,1,.15
6760581000006111,1,.15
857631000006118,1,.15
747431000006116,1,.15
734951000006114,1,.15
4196781000006119,1,.15
747311000006117,1,.15
747421000006119,1,.15
747321000006113,1,.15
1564221000000111,1,.15
264661019,1,.15
1060061000000116,1,.15
113901010,1,.15
298313018,1,.15
510221000006112,1,.15
2549896013,1,.15
6910411000006112,1,.15
