medcodeid,dem_cnd,dem_weight
21256010,1,2.46
22408016,1,2.46
359141000006111,1,2.46
294635013,1,2.46
294637017,1,2.46
294638010,1,2.46
294641018,1,2.46
294642013,1,2.46
359151000006113,1,2.46
294645010,1,2.46
294646011,1,2.46
294648012,1,2.46
294652012,1,2.46
294653019,1,2.46
294654013,1,2.46
294655014,1,2.46
294688019,1,2.46
295690011,1,2.46
295685013,1,2.46
345092016,1,2.46
431691000006119,1,2.46
428201000006119,1,2.46
398571000006112,1,2.46
295668011,1,2.46
359101000006114,1,2.46
362941000006113,1,2.46
1805751000006115,1,2.46
363041000006118,1,2.46
363031000006111,1,2.46
376571000006116,1,2.46
295688010,1,2.46
295686014,1,2.46
431681000006117,1,2.46
295687017,1,2.46
76484016,1,2.46
496158012,1,2.46
359241000006119,1,2.46
497559016,1,2.46
2366171000000112,1,2.46
2386018,1,2.46
745381000006119,1,2.46
1235534016,1,2.46
359081000006118,1,2.46
294643015,1,2.46
26545010,1,2.46
882201000006116,1,2.46
294647019,1,2.46
294644014,1,2.46
882211000006118,1,2.46
295684012,1,2.46
294718018,1,2.46
295671015,1,2.46
295672010,1,2.46
363021000006113,1,2.46
45046017,1,2.46
299325013,1,2.46
401760017,1,2.46
346929012,1,2.46
423351000006115,1,2.46
499946014,1,2.46
376531000006119,1,2.46
423391000006114,1,2.46
423381000006111,1,2.46
500317011,1,2.46
425901000006116,1,2.46
376541000006112,1,2.46
295680015,1,2.46
295681016,1,2.46
882941000006113,1,2.46
496157019,1,2.46
148381000006115,1,2.46
294656010,1,2.46
696161000006115,1,2.46
399031000006111,1,2.46
423221000006117,1,2.46
363791000006112,1,2.46
2366181000000114,1,2.46
299641000000112,1,2.46
149347010,1,2.46
