medcodeid,diab_cnd,diab_weight
457327017,1,.71
189711000000119,1,.71
429972014,1,.71
967701000006116,1,.71
616461000006112,1,.71
302011,1,.71
292540012,1,.71
292551012,1,.71
292576013,1,.71
292581016,1,.71
772131000006111,1,.71
771371000006118,1,.71
1223147012,1,.71
356078011,1,.71
356085010,1,.71
356101019,1,.71
356111014,1,.71
356118015,1,.71
264716012,1,.71
3029742016,1,.71
429970018,1,.71
84831000006115,1,.71
457328010,1,.71
84711000006117,1,.71
84311000006118,1,.71
280561000006111,1,.71
459311019,1,.71
281181000006116,1,.71
622221000000118,1,.71
13751000006117,1,.71
1488898011,1,.71
928491000006110,1,.71
2160090014,1,.71
967631000006115,1,.71
616641000006110,1,.71
587521000006111,1,.71
280521000006117,1,.71
938301000006114,1,.71
928471000006114,1,.71
928561000006118,1,.71
281161000006114,1,.71
84811000006114,1,.71
292543014,1,.71
913781000006117,1,.71
616651000006112,1,.71
616481000006119,1,.71
616591000006117,1,.71
913511000006117,1,.71
292583018,1,.71
928581000006111,1,.71
938331000006118,1,.71
928601000006118,1,.71
913841000006116,1,.71
913911000006110,1,.71
928551000006115,1,.71
84621000006117,1,.71
914061000006110,1,.71
84731000006111,1,.71
494831000000119,1,.71
2674067015,1,.71
223291000000111,1,.71
84481000006116,1,.71
84661000006111,1,.71
494564012,1,.71
9093013,1,.71
913801000006118,1,.71
198461000000116,1,.71
9986011,1,.71
498512013,1,.71
483886014,1,.71
2476117016,1,.71
1968641000006114,1,.71
2287971000000119,1,.71
2288041000000110,1,.71
2288061000000111,1,.71
1803751000006119,1,.71
1667941000000112,1,.71
1667921000000117,1,.71
84421000006115,1,.71
84601000006110,1,.71
459295013,1,.71
84891000006116,1,.71
881441000006111,1,.71
84771000006114,1,.71
3291658019,1,.71
189721000000113,1,.71
746791000006111,1,.71
292466013,1,.71
292475010,1,.71
72651000006114,1,.71
411891014,1,.71
19931010,1,.71
913831000006114,1,.71
292495016,1,.71
293759015,1,.71
205225016,1,.71
771391000006117,1,.71
881481000006117,1,.71
292496015,1,.71
913441000006119,1,.71
354316011,1,.71
771501000006119,1,.71
292538019,1,.71
84821000006118,1,.71
84451000006112,1,.71
84301000006116,1,.71
84671000006116,1,.71
292553010,1,.71
84541000006111,1,.71
292577016,1,.71
280581000006118,1,.71
84911000006119,1,.71
85001000006117,1,.71
280551000006114,1,.71
292579018,1,.71
84631000006119,1,.71
616971000006114,1,.71
913981000006115,1,.71
913771000006115,1,.71
345492010,1,.71
914391000006116,1,.71
1223148019,1,.71
840951000006119,1,.71
841351000006110,1,.71
840971000006112,1,.71
356115017,1,.71
356117013,1,.71
772181000006112,1,.71
913681000006111,1,.71
401531012,1,.71
3029802015,1,.71
423112012,1,.71
1495356017,1,.71
