medcodeid,hear_cnd,hear_weight
2740741000006117,1,.07
2740771000006113,1,.07
25785014,1,.07
460635011,1,.07
477221017,1,.07
2740731000006110,1,.07
2740761000006118,1,.07
2740701000006119,1,.07
299551011,1,.07
2740711000006116,1,.07
2740721000006112,1,.07
25788011,1,.07
989081000006119,1,.07
608101000006118,1,.07
2740751000006115,1,.07
3654101000006113,1,.07
117876016,1,.07
502417018,1,.07
121849011,1,.07
3693051000006116,1,.07
3693061000006119,1,.07
3486051000006114,1,.07
3486091000006115,1,.07
100856018,1,.07
3486081000006118,1,.07
3486121000006116,1,.07
100857010,1,.07
299255015,1,.07
100850012,1,.07
299262012,1,.07
3486111000006112,1,.07
100854015,1,.07
3486101000006114,1,.07
70962017,1,.07
733941000006114,1,.07
73473018,1,.07
255434015,1,.07
3209521000006115,1,.07
73470015,1,.07
3209511000006111,1,.07
299248017,1,.07
299240012,1,.07
3283701000006115,1,.07
2410391000000119,1,.07
80699013,1,.07
11902971000006110,1,.07
253161014,1,.07
283071016,1,.07
283070015,1,.07
253163012,1,.07
255433014,1,.07
4574421000006115,1,.07
4574411000006111,1,.07
283069016,1,.07
299241011,1,.07
299259014,1,.07
299242016,1,.07
299261017,1,.07
377153018,1,.07
313177010,1,.07
400791015,1,.07
313148014,1,.07
313149018,1,.07
299244015,1,.07
299245019,1,.07
348076010,1,.07
822981000006112,1,.07
358234016,1,.07
5129481000006115,1,.07
299203016,1,.07
4775211000006113,1,.07
399507018,1,.07
354552014,1,.07
4574311000006118,1,.07
255426014,1,.07
255427017,1,.07
4574331000006112,1,.07
255437010,1,.07
4574471000006119,1,.07
255436018,1,.07
4574451000006112,1,.07
255435019,1,.07
419723011,1,.07
419724017,1,.07
348075014,1,.07
457008018,1,.07
460695014,1,.07
413668018,1,.07
423945013,1,.07
5696501000006110,1,.07
470343013,1,.07
407075014,1,.07
399508011,1,.07
512317011,1,.07
4062831000006115,1,.07
622201000000110,1,.07
1488593014,1,.07
3761221000006112,1,.07
1234118017,1,.07
3761251000006115,1,.07
1234119013,1,.07
3761211000006116,1,.07
1234121015,1,.07
5577911000006115,1,.07
411844019,1,.07
2693867016,1,.07
2675903011,1,.07
2675905016,1,.07
1542791000006111,1,.07
378241000000119,1,.07
2675904017,1,.07
2695992016,1,.07
1484996016,1,.07
1780215014,1,.07
914981000006118,1,.07
915021000006117,1,.07
918721000006114,1,.07
3301521000006110,1,.07
3301531000006113,1,.07
148351000006111,1,.07
207971000006112,1,.07
883821000006115,1,.07
3301551000006118,1,.07
12726991000006111,1,.07
883831000006117,1,.07
959441000006114,1,.07
960271000006118,1,.07
918701000006116,1,.07
981251000006117,1,.07
918711000006118,1,.07
981241000006119,1,.07
1173591000000110,1,.07
1776751000006116,1,.07
1779881000000115,1,.07
1803751000006119,1,.07
3649801000006118,1,.07
1233307015,1,.07
1848531000006116,1,.07
3649841000006116,1,.07
3649811000006115,1,.07
3649791000006119,1,.07
1873711000006113,1,.07
1872761000006118,1,.07
1846681000006117,1,.07
25680012,1,.07
2739701000006112,1,.07
