medcodeid,hyp_cnd,hyp_weight
2668041000006115,1,.09
2670511000006119,1,.09
9324411000006114,1,.09
9324431000006115,1,.09
9324421000006118,1,.09
9325301000006118,1,.09
9325291000006119,1,.09
4195721000006113,1,.09
8037171000006115,1,.09
8037161000006110,1,.09
3135013,1,.09
4356081000006115,1,.09
299683014,1,.09
4356091000006117,1,.09
8041701000006119,1,.09
8044021000006113,1,.09
8044011000006117,1,.09
8044041000006118,1,.09
8044051000006116,1,.09
8044061000006119,1,.09
8044071000006114,1,.09
8044081000006112,1,.09
8044091000006110,1,.09
2737251000006112,1,.09
9897511000006110,1,.09
262960017,1,.09
4623221000006114,1,.09
2792621000006113,1,.09
4775791000006113,1,.09
299676019,1,.09
299678018,1,.09
299680012,1,.09
299681011,1,.09
4775831000006118,1,.09
4775861000006110,1,.09
299684015,1,.09
2813981000006110,1,.09
887811000006117,1,.09
504831000006116,1,.09
504791000006111,1,.09
504761000006115,1,.09
504821000006119,1,.09
504781000006113,1,.09
176981000006119,1,.09
176971000006117,1,.09
176961000006112,1,.09
176951000006110,1,.09
176931000006115,1,.09
176941000006113,1,.09
176921000006118,1,.09
305818015,1,.09
212961000006118,1,.09
213011000006113,1,.09
212991000006114,1,.09
212981000006111,1,.09
213001000006110,1,.09
212971000006113,1,.09
213111000006112,1,.09
213101000006114,1,.09
213081000006118,1,.09
2878561000006113,1,.09
2879511000006116,1,.09
2883571000006118,1,.09
2917191000006110,1,.09
2951231000006117,1,.09
2970351000006113,1,.09
3006211000006112,1,.09
300870016,1,.09
300871017,1,.09
53452019,1,.09
158241000006117,1,.09
299682016,1,.09
3058531000006114,1,.09
3068941000006115,1,.09
6349461000006119,1,.09
3105841000006112,1,.09
3117491000006111,1,.09
3117511000006117,1,.09
3117451000006117,1,.09
3117521000006113,1,.09
3117471000006110,1,.09
3117501000006115,1,.09
523801000006119,1,.09
3117411000006118,1,.09
3117421000006114,1,.09
300869017,1,.09
3117461000006115,1,.09
64168014,1,.09
3117431000006112,1,.09
3117481000006113,1,.09
299686018,1,.09
299687010,1,.09
790121000006116,1,.09
3128041000006117,1,.09
3139071000006117,1,.09
6592161000006112,1,.09
8016551000006112,1,.09
8016541000006110,1,.09
7080381000006116,1,.09
7090481000006112,1,.09
7103581000006114,1,.09
7278171000006116,1,.09
3250801000006112,1,.09
8180731000006115,1,.09
80224019,1,.09
3285691000006116,1,.09
93494011,1,.09
3437381000006110,1,.09
3468501000006117,1,.09
395751018,1,.09
3468491000006113,1,.09
99047018,1,.09
99042012,1,.09
3470001000006117,1,.09
3474371000006117,1,.09
3474361000006112,1,.09
3529151000006119,1,.09
3563421000006111,1,.09
3565371000006115,1,.09
3595901000006111,1,.09
3595881000006114,1,.09
3595891000006112,1,.09
3595871000006111,1,.09
3595861000006116,1,.09
3636751000006117,1,.09
3642801000006112,1,.09
7609711000006110,1,.09
7696031000006114,1,.09
8022361000006113,1,.09
8022371000006118,1,.09
8022411000006117,1,.09
8022401000006115,1,.09
3669111000006119,1,.09
3671691000006112,1,.09
7805421000006117,1,.09
7805411000006113,1,.09
7805441000006112,1,.09
7805431000006119,1,.09
2478822013,1,.09
3693711000006119,1,.09
3710191000006113,1,.09
3636694012,1,.09
3636695013,1,.09
3636696014,1,.09
12049831000006112,1,.09
12049841000006119,1,.09
12049821000006114,1,.09
3781691000006113,1,.09
884121000006111,1,.09
131046010,1,.09
3784371000006115,1,.09
3827481000006110,1,.09
2631141000006115,1,.09
3868031000006113,1,.09
1846941000006119,1,.09
2193031000000112,1,.09
2193021000000110,1,.09
1846961000006115,1,.09
2193971000000110,1,.09
8286321000006117,1,.09
8286581000006114,1,.09
1846991000006111,1,.09
19441000006114,1,.09
19431000006116,1,.09
39871000006113,1,.09
504801000006112,1,.09
3898611000006110,1,.09
3898601000006112,1,.09
504811000006110,1,.09
19451000006111,1,.09
19421000006119,1,.09
305764016,1,.09
19411000006110,1,.09
8298681000006113,1,.09
2639781000006114,1,.09
151161000006115,1,.09
3950631000006119,1,.09
299677011,1,.09
1908711000006115,1,.09
1908721000006111,1,.09
2657651000006118,1,.09
