medcodeid,psm_cnd,psm_weight
397771000006119,1,.38
295211018,1,.38
379271000006112,1,.38
64025010,1,.38
295207012,1,.38
251627017,1,.38
4539911000006118,1,.38
285115018,1,.38
294682018,1,.38
294679011,1,.38
295169019,1,.38
2475575018,1,.38
295145018,1,.38
295222019,1,.38
295226016,1,.38
295197013,1,.38
988911000006118,1,.38
295224018,1,.38
2475571010,1,.38
882491000006110,1,.38
401796018,1,.38
882501000006119,1,.38
882481000006112,1,.38
295201013,1,.38
988921000006114,1,.38
379321000006116,1,.38
988901000006116,1,.38
379301000006114,1,.38
295241016,1,.38
295227013,1,.38
295225017,1,.38
295170018,1,.38
4765301000006111,1,.38
295215010,1,.38
4765571000006112,1,.38
295230018,1,.38
295301010,1,.38
294688019,1,.38
295156018,1,.38
295190010,1,.38
2475572015,1,.38
295198015,1,.38
4765401000006119,1,.38
295265018,1,.38
295287010,1,.38
2475578016,1,.38
295312010,1,.38
295154015,1,.38
295155019,1,.38
295209010,1,.38
295238013,1,.38
295264019,1,.38
295275015,1,.38
295288017,1,.38
295305018,1,.38
295299015,1,.38
295300011,1,.38
295324015,1,.38
295188014,1,.38
295189018,1,.38
295208019,1,.38
882511000006116,1,.38
295212013,1,.38
295218012,1,.38
295214014,1,.38
4765501000006118,1,.38
295213015,1,.38
295178013,1,.38
295217019,1,.38
295233016,1,.38
4765551000006119,1,.38
295228015,1,.38
295229011,1,.38
295263013,1,.38
295172014,1,.38
295176012,1,.38
295232014,1,.38
4765611000006119,1,.38
295216011,1,.38
4765591000006113,1,.38
295231019,1,.38
295266017,1,.38
295262015,1,.38
295261010,1,.38
295302015,1,.38
294691019,1,.38
295146017,1,.38
2604131000006116,1,.38
295199011,1,.38
2475573013,1,.38
295236012,1,.38
295274016,1,.38
295303013,1,.38
295327010,1,.38
342434015,1,.38
342435019,1,.38
4979221000006113,1,.38
4979231000006111,1,.38
342475010,1,.38
342444018,1,.38
342455018,1,.38
342456017,1,.38
2551020015,1,.38
4979621000006110,1,.38
342473015,1,.38
342491013,1,.38
342492018,1,.38
346949015,1,.38
346936013,1,.38
346935012,1,.38
342445017,1,.38
342494017,1,.38
346927014,1,.38
346928016,1,.38
4979361000006112,1,.38
2535919011,1,.38
4979351000006110,1,.38
342447013,1,.38
346938014,1,.38
5247591000006111,1,.38
369851012,1,.38
5247581000006113,1,.38
4979161000006114,1,.38
342429019,1,.38
4979261000006119,1,.38
342439013,1,.38
2535920017,1,.38
342457014,1,.38
4979461000006118,1,.38
346941017,1,.38
342467016,1,.38
342472013,1,.38
346942012,1,.38
405031011,1,.38
342468014,1,.38
4979581000006110,1,.38
342504010,1,.38
346951016,1,.38
938451000006118,1,.38
2475580010,1,.38
401800012,1,.38
295314011,1,.38
586661000006119,1,.38
127611000006118,1,.38
199931000006119,1,.38
5506561000006115,1,.38
355550012,1,.38
295289013,1,.38
401799013,1,.38
295285019,1,.38
295271012,1,.38
295276019,1,.38
401798017,1,.38
630361000006113,1,.38
397153012,1,.38
4979141000006110,1,.38
4979131000006117,1,.38
4979091000006119,1,.38
1216143019,1,.38
4979101000006113,1,.38
4979111000006111,1,.38
4979081000006117,1,.38
2475574019,1,.38
295200014,1,.38
2549001012,1,.38
2548950012,1,.38
2549278014,1,.38
817251000006118,1,.38
718011000006110,1,.38
820221000006118,1,.38
401793014,1,.38
2549886016,1,.38
2533651012,1,.38
127621000006114,1,.38
411458014,1,.38
2533726015,1,.38
2533634017,1,.38
1780455014,1,.38
6650861000006117,1,.38
31511000033118,1,.38
2164309017,1,.38
5777161000006115,1,.38
355481000006114,1,.38
2533732013,1,.38
2548434014,1,.38
397781000006116,1,.38
379311000006112,1,.38
2673574010,1,.38
2548201014,1,.38
309021000000115,1,.38
371621000000117,1,.38
8061421000006113,1,.38
540591000000111,1,.38
877611000006114,1,.38
394637016,1,.38
346501000006111,1,.38
460277016,1,.38
6354321000006117,1,.38
497451000000119,1,.38
12703401000006113,1,.38
460276013,1,.38
910591000006118,1,.38
970531000006111,1,.38
1012911000006111,1,.38
907461000006111,1,.38
973011000006119,1,.38
1627491000006112,1,.38
3576811000006118,1,.38
295335013,1,.38
500344018,1,.38
3576821000006114,1,.38
295337017,1,.38
1809481000006117,1,.38
882521000006112,1,.38
295338010,1,.38
295339019,1,.38
1063801000000119,1,.38
1065411000000115,1,.38
1122111000000117,1,.38
1704461000006111,1,.38
1153451000000115,1,.38
1778191000006113,1,.38
1877111000006117,1,.38
1854731000006115,1,.38
1716731000006118,1,.38
1716741000006111,1,.38
6025051000006110,1,.38
1924681000006115,1,.38
6025031000006115,1,.38
456900016,1,.38
6025041000006113,1,.38
1972691000006110,1,.38
1971611000006111,1,.38
2001381000006110,1,.38
1973211000006114,1,.38
1974021000006112,1,.38
1974071000006113,1,.38
1976591000006112,1,.38
2001361000006117,1,.38
1974401000006114,1,.38
1972701000006110,1,.38
1974441000006111,1,.38
2371251000000114,1,.38
1973491000006117,1,.38
1975421000006115,1,.38
1976581000006114,1,.38
2264491000000115,1,.38
2640561000000110,1,.38
2716861000000113,1,.38
8461031000006110,1,.38
285119012,1,.38
397851000006118,1,.38
295173016,1,.38
295179017,1,.38
379261000006117,1,.38
294686015,1,.38
294693016,1,.38
397541000006117,1,.38
4763211000006118,1,.38
630831000006113,1,.38
294692014,1,.38
4763231000006112,1,.38
295191014,1,.38
295187016,1,.38
379251000006119,1,.38
397761000006114,1,.38
295167017,1,.38
5506501000006116,1,.38
295171019,1,.38
401791011,1,.38
295322016,1,.38
295323014,1,.38
295328017,1,.38
6218931000006110,1,.38
6218981000006111,1,.38
6218951000006115,1,.38
6218961000006118,1,.38
477158014,1,.38
295340017,1,.38
631001000006115,1,.38
6218971000006113,1,.38
295235011,1,.38
295234010,1,.38
295239017,1,.38
1994311000006113,1,.38
318059017,1,.38
8339881000006117,1,.38
401801011,1,.38
481371000006116,1,.38
401794015,1,.38
295803018,1,.38
397261000006115,1,.38
2734421000006113,1,.38
2734431000006111,1,.38
3259301000006112,1,.38
295877018,1,.38
3259291000006111,1,.38
397251000006117,1,.38
980101000006116,1,.38
980141000006119,1,.38
397931000006115,1,.38
295153014,1,.38
3728471000006114,1,.38
388831000006113,1,.38
295157010,1,.38
379281000006110,1,.38
44291000006113,1,.38
7061411000006111,1,.38
295336014,1,.38
2640381000000112,1,.38
2640651000000111,1,.38
397561000006118,1,.38
398691000006112,1,.38
3984651000006110,1,.38
397631000006114,1,.38
397471000006114,1,.38
397751000006112,1,.38
398731000006116,1,.38
