medcodeid,psoecz_sno,psoecz_weight
55628018,1,.25
55627011,1,.25
308730016,1,.25
312521010,1,.25
61797015,1,.25
3096771000006113,1,.25
4541291000006118,1,.25
251784017,1,.25
308735014,1,.25
308747015,1,.25
308744010,1,.25
308733019,1,.25
308741019,1,.25
4805991000006118,1,.25
4805981000006116,1,.25
308752013,1,.25
308745011,1,.25
308749017,1,.25
308739015,1,.25
5139461000006110,1,.25
359310019,1,.25
5139581000006118,1,.25
359321011,1,.25
357623013,1,.25
2941451000006110,1,.25
2941431000006115,1,.25
2941421000006118,1,.25
2941391000006114,1,.25
2941411000006114,1,.25
483572016,1,.25
2941401000006111,1,.25
2941471000006117,1,.25
2941441000006113,1,.25
2941481000006119,1,.25
1823821000006111,1,.25
10111000033114,1,.25
905681000006112,1,.25
1011221000006117,1,.25
1583831000006118,1,.25
1629311000006117,1,.25
1933361000006117,1,.25
2162831000033118,1,.25
308753015,1,.25
309331014,1,.25
308731017,1,.25
308725015,1,.25
308732012,1,.25
308776017,1,.25
4805761000006111,1,.25
198881000006116,1,.25
198841000006110,1,.25
4805881000006111,1,.25
4805871000006113,1,.25
4805831000006110,1,.25
198791000006112,1,.25
4805821000006112,1,.25
2239001000000113,1,.25
8300801000006110,1,.25
8300811000006113,1,.25
308740018,1,.25
308746012,1,.25
308775018,1,.25
6631851000006114,1,.25
357612014,1,.25
1887571000006111,1,.25
5123861000006113,1,.25
308734013,1,.25
308750017,1,.25
4805951000006112,1,.25
38664014,1,.25
889211000006110,1,.25
308515010,1,.25
2866881000006113,1,.25
50967012,1,.25
2990471000006118,1,.25
2990491000006117,1,.25
622961000006111,1,.25
135069015,1,.25
622951000006114,1,.25
3823971000006113,1,.25
3823951000006115,1,.25
3823981000006111,1,.25
3686151000006110,1,.25
121124014,1,.25
879131000006117,1,.25
3703991000006119,1,.25
3703961000006110,1,.25
122961018,1,.25
3703971000006115,1,.25
3703931000006118,1,.25
122965010,1,.25
3704001000006111,1,.25
3704011000006114,1,.25
3703951000006113,1,.25
42121000006113,1,.25
38016018,1,.25
2860981000006116,1,.25
3021441000006112,1,.25
54060018,1,.25
430281000006110,1,.25
1494721011,1,.25
399912014,1,.25
308602013,1,.25
3148011000006118,1,.25
3148021000006114,1,.25
308623019,1,.25
308624013,1,.25
309323016,1,.25
3148031000006112,1,.25
591221000006115,1,.25
63652013,1,.25
2798281000006112,1,.25
31691015,1,.25
3088971000006113,1,.25
60975016,1,.25
93035017,1,.25
3408791000006115,1,.25
3155471000006113,1,.25
67908018,1,.25
