medcodeid,sczbip_sno,sczbip_weight
294730012,1,.58
178723016,1,.58
366571000006114,1,.58
294737010,1,.58
294882016,1,.58
396801000006115,1,.58
294738017,1,.58
513691000006116,1,.58
294895014,1,.58
28758018,1,.58
401862018,1,.58
882281000006113,1,.58
426881000006111,1,.58
294731011,1,.58
294739013,1,.58
425651000006113,1,.58
294750011,1,.58
294751010,1,.58
294757014,1,.58
294758016,1,.58
395021000006111,1,.58
294766013,1,.58
294767016,1,.58
294768014,1,.58
294769018,1,.58
294770017,1,.58
155141000006116,1,.58
123611000006110,1,.58
556631000006116,1,.58
456801000006115,1,.58
456731000006115,1,.58
155151000006119,1,.58
294788013,1,.58
294803011,1,.58
294804017,1,.58
294806015,1,.58
294808019,1,.58
294810017,1,.58
294812013,1,.58
294813015,1,.58
294815010,1,.58
294817019,1,.58
401869010,1,.58
294840015,1,.58
513801000006112,1,.58
294849019,1,.58
294850019,1,.58
513701000006116,1,.58
513811000006110,1,.58
294861010,1,.58
294862015,1,.58
294863013,1,.58
513861000006113,1,.58
294870013,1,.58
294871012,1,.58
294872017,1,.58
294874016,1,.58
294876019,1,.58
294893019,1,.58
294904016,1,.58
294909014,1,.58
294911017,1,.58
426981000006116,1,.58
294919015,1,.58
424071000006112,1,.58
294927012,1,.58
367121000006119,1,.58
294926015,1,.58
423041000006119,1,.58
394461000006110,1,.58
367991000006119,1,.58
396711000006114,1,.58
789221000006116,1,.58
423271000006116,1,.58
43595011,1,.58
44335019,1,.58
401763015,1,.58
294802018,1,.58
401768012,1,.58
401770015,1,.58
425521000006115,1,.58
425511000006111,1,.58
294736018,1,.58
367951000006113,1,.58
362421000006113,1,.58
2532965018,1,.58
424571000006115,1,.58
376281000006116,1,.58
450785011,1,.58
425731000006110,1,.58
294740010,1,.58
367111000006110,1,.58
52897013,1,.58
378051000006119,1,.58
1785851000006110,1,.58
418251000006110,1,.58
296022017,1,.58
294887010,1,.58
71539017,1,.58
294897018,1,.58
82171000006116,1,.58
215841000000114,1,.58
9225016,1,.58
82151000006114,1,.58
10122017,1,.58
425711000006116,1,.58
513731000006112,1,.58
389651000006112,1,.58
105029017,1,.58
523481000006114,1,.58
513741000006119,1,.58
107878010,1,.58
425551000006112,1,.58
114616017,1,.58
424231000006116,1,.58
362391000006117,1,.58
367971000006115,1,.58
1715191000006112,1,.58
1667591000000111,1,.58
1755901000006112,1,.58
1755911000006110,1,.58
701051000006118,1,.58
701071000006111,1,.58
182871000006115,1,.58
294805016,1,.58
182861000006110,1,.58
294807012,1,.58
367061000006114,1,.58
294883014,1,.58
132503015,1,.58
367161000006113,1,.58
1234861017,1,.58
425691000006119,1,.58
296130018,1,.58
1219653018,1,.58
371031000006115,1,.58
296031017,1,.58
294880012,1,.58
294888017,1,.58
513871000006118,1,.58
396791000006116,1,.58
367101000006112,1,.58
294892012,1,.58
294891017,1,.58
296135011,1,.58
401865016,1,.58
882311000006110,1,.58
396071000006119,1,.58
294881011,1,.58
294896010,1,.58
223611000000117,1,.58
294949018,1,.58
294724012,1,.58
25461000006115,1,.58
401771016,1,.58
412201000006113,1,.58
882291000006111,1,.58
294725013,1,.58
294726014,1,.58
294727017,1,.58
294734015,1,.58
425641000006111,1,.58
370461000006112,1,.58
294753013,1,.58
294743012,1,.58
294742019,1,.58
294744018,1,.58
370451000006110,1,.58
294764011,1,.58
294771018,1,.58
294765012,1,.58
395031000006114,1,.58
882301000006112,1,.58
78531000006116,1,.58
294773015,1,.58
155161000006117,1,.58
294787015,1,.58
424661000006111,1,.58
294811018,1,.58
294818012,1,.58
426961000006114,1,.58
426921000006115,1,.58
294828015,1,.58
424671000006116,1,.58
424551000006113,1,.58
294858014,1,.58
294848010,1,.58
367081000006116,1,.58
294847017,1,.58
367071000006119,1,.58
294860011,1,.58
513751000006117,1,.58
294868016,1,.58
367091000006118,1,.58
294877011,1,.58
294869012,1,.58
294908018,1,.58
387071000006117,1,.58
426951000006112,1,.58
294918011,1,.58
294917018,1,.58
294924017,1,.58
398541000006116,1,.58
294929010,1,.58
346896012,1,.58
424511000006112,1,.58
401857019,1,.58
419861000006117,1,.58
376501000006110,1,.58
296066015,1,.58
418181000006110,1,.58
296083012,1,.58
401859016,1,.58
362271000006110,1,.58
401860014,1,.58
296110017,1,.58
396701000006111,1,.58
396761000006112,1,.58
223601000000119,1,.58
296118012,1,.58
401863011,1,.58
389401000006111,1,.58
423471000006117,1,.58
424931000006113,1,.58
169061000006112,1,.58
424841000006113,1,.58
294809010,1,.58
401765010,1,.58
367151000006111,1,.58
401864017,1,.58
396691000006111,1,.58
396741000006113,1,.58
882321000006119,1,.58
161371000006118,1,.58
376251000006112,1,.58
398631000006113,1,.58
425701000006119,1,.58
425571000006119,1,.58
368001000006112,1,.58
425671000006115,1,.58
403611000006116,1,.58
368011000006110,1,.58
424541000006111,1,.58
376271000006119,1,.58
155281000006119,1,.58
423741000006116,1,.58
423731000006114,1,.58
401856011,1,.58
388741000006110,1,.58
294735019,1,.58
294741014,1,.58
819351000006115,1,.58
294898011,1,.58
294902017,1,.58
370631000006117,1,.58
425601000006114,1,.58
401855010,1,.58
294790014,1,.58
296040018,1,.58
425681000006117,1,.58
294728010,1,.58
294789017,1,.58
401764014,1,.58
367051000006112,1,.58
389661000006114,1,.58
389641000006110,1,.58
367961000006110,1,.58
294760019,1,.58
418221000006118,1,.58
418261000006112,1,.58
294754019,1,.58
425541000006110,1,.58
296096013,1,.58
296095012,1,.58
346895011,1,.58
362381000006115,1,.58
379771000006116,1,.58
396781000006119,1,.58
513721000006114,1,.58
1785861000006112,1,.58
1785871000006117,1,.58
425501000006113,1,.58
425561000006114,1,.58
