medcodeid,thy_cnd,thy_weight
57561015,1,.08
2579201000006117,1,.08
661271000006114,1,.08
2579191000006115,1,.08
9370014,1,.08
26758014,1,.08
33469013,1,.08
2838091000006113,1,.08
2838081000006110,1,.08
35727012,1,.08
23518016,1,.08
12482911000006118,1,.08
51831010,1,.08
266322016,1,.08
355914011,1,.08
40998019,1,.08
40996015,1,.08
45053014,1,.08
2966811000006113,1,.08
2966801000006110,1,.08
48600017,1,.08
3701001000006114,1,.08
3700971000006112,1,.08
200396013,1,.08
3700961000006117,1,.08
292338018,1,.08
3700951000006119,1,.08
3700941000006116,1,.08
3700981000006110,1,.08
3700991000006113,1,.08
87809017,1,.08
64445010,1,.08
3123421000006114,1,.08
3644091000006117,1,.08
116846019,1,.08
3644061000006113,1,.08
3644041000006114,1,.08
3644051000006111,1,.08
3644081000006115,1,.08
3644071000006118,1,.08
3644031000006116,1,.08
988821000006117,1,.08
292408011,1,.08
988831000006119,1,.08
881381000006114,1,.08
4197341000006114,1,.08
178809013,1,.08
293750016,1,.08
292366014,1,.08
292365013,1,.08
150375010,1,.08
292362011,1,.08
292372014,1,.08
101911000006110,1,.08
101891000006113,1,.08
292361016,1,.08
398782015,1,.08
147293015,1,.08
253813016,1,.08
4553421000006115,1,.08
100438013,1,.08
4003691000006112,1,.08
152950012,1,.08
4003681000006114,1,.08
881131000006111,1,.08
3491781000006111,1,.08
3491791000006114,1,.08
3491771000006113,1,.08
199017019,1,.08
3491761000006118,1,.08
3491751000006115,1,.08
165687010,1,.08
3946971000006112,1,.08
3946951000006119,1,.08
3946981000006110,1,.08
147605012,1,.08
3946991000006113,1,.08
3946961000006117,1,.08
264730019,1,.08
264748011,1,.08
858371000006110,1,.08
4646851000006113,1,.08
266336014,1,.08
858391000006111,1,.08
266343015,1,.08
4646881000006117,1,.08
398784019,1,.08
208391000006113,1,.08
3159171000006117,1,.08
68268011,1,.08
101171000006116,1,.08
413721000006119,1,.08
101581000006112,1,.08
251587014,1,.08
4539511000006111,1,.08
251588016,1,.08
266338010,1,.08
262553016,1,.08
266345010,1,.08
858401000006113,1,.08
858411000006111,1,.08
266346011,1,.08
858431000006117,1,.08
858421000006115,1,.08
267836010,1,.08
266327010,1,.08
858361000006115,1,.08
2922531000006114,1,.08
2922521000006111,1,.08
2922461000006118,1,.08
196525014,1,.08
2922511000006115,1,.08
2922491000006114,1,.08
2922471000006113,1,.08
2922481000006111,1,.08
2922501000006118,1,.08
292343013,1,.08
266337017,1,.08
290777012,1,.08
292395017,1,.08
292417011,1,.08
284025015,1,.08
292448015,1,.08
4756541000006115,1,.08
291018014,1,.08
262590015,1,.08
190291000006117,1,.08
4620491000006116,1,.08
292330013,1,.08
4757681000006110,1,.08
292356018,1,.08
292439013,1,.08
297588017,1,.08
4757781000006116,1,.08
292355019,1,.08
288802014,1,.08
292420015,1,.08
292422011,1,.08
292680013,1,.08
264731015,1,.08
297591017,1,.08
318636012,1,.08
321367010,1,.08
290237017,1,.08
330828013,1,.08
358341000006117,1,.08
4909341000006115,1,.08
415432015,1,.08
5614081000006117,1,.08
415431010,1,.08
5499981000006118,1,.08
5499971000006116,1,.08
416051000006119,1,.08
5499991000006115,1,.08
398768015,1,.08
5500011000006113,1,.08
881341000006115,1,.08
5500001000006110,1,.08
355957018,1,.08
5108301000006115,1,.08
5108341000006118,1,.08
355961012,1,.08
356012016,1,.08
5108831000006119,1,.08
5108811000006113,1,.08
5112881000006118,1,.08
356406019,1,.08
5500061000006111,1,.08
5500091000006115,1,.08
292331012,1,.08
5500071000006116,1,.08
5500101000006114,1,.08
5500111000006112,1,.08
5500051000006114,1,.08
398780011,1,.08
5500081000006118,1,.08
5500041000006112,1,.08
5484421000006112,1,.08
393924014,1,.08
355932011,1,.08
5108021000006110,1,.08
493538010,1,.08
3195471000006116,1,.08
5581801000006112,1,.08
5581821000006119,1,.08
5581881000006115,1,.08
5581861000006113,1,.08
5581891000006117,1,.08
5581841000006114,1,.08
5581911000006115,1,.08
5581871000006118,1,.08
412221013,1,.08
642261000006117,1,.08
5581791000006111,1,.08
5581851000006111,1,.08
5581811000006110,1,.08
5581831000006116,1,.08
5108351000006116,1,.08
5108381000006112,1,.08
355964016,1,.08
5108361000006119,1,.08
355987012,1,.08
858351000006117,1,.08
3356521000006111,1,.08
496447014,1,.08
932331000006116,1,.08
2558191000006111,1,.08
486644011,1,.08
486645012,1,.08
2558181000006113,1,.08
11903731000006119,1,.08
2558171000006110,1,.08
2558111000006118,1,.08
2558141000006119,1,.08
292284013,1,.08
398769011,1,.08
2558121000006114,1,.08
2558131000006112,1,.08
490987015,1,.08
6196421000006115,1,.08
472452010,1,.08
6196431000006117,1,.08
6196461000006114,1,.08
6196451000006112,1,.08
2849771000006115,1,.08
